"activity_name" "subject_ID" "avg"
"laying" 1 -0.276274557146282
"laying" 2 -0.314415241504173
"laying" 3 -0.30410606197213
"laying" 4 -0.305421344980543
"laying" 5 -0.314060625148942
"laying" 6 -0.299183871190557
"laying" 7 -0.304766222678665
"laying" 8 -0.300633612283595
"laying" 9 -0.316637617816659
"laying" 10 -0.349416544095827
"laying" 11 -0.309748696910738
"laying" 12 -0.307003474619369
"laying" 13 -0.303955702728054
"laying" 14 -0.288167718983852
"laying" 15 -0.311935614227308
"laying" 16 -0.320724135090586
"laying" 17 -0.302172185796626
"laying" 18 -0.313045932141959
"laying" 19 -0.317562144948479
"laying" 20 -0.31272704962284
"laying" 21 -0.301224210098167
"laying" 22 -0.297490321099244
"laying" 23 -0.310831175356777
"laying" 24 -0.308091514857696
"laying" 25 -0.261135492020032
"laying" 26 -0.31727774458343
"laying" 27 -0.317619487902238
"laying" 28 -0.342959614459131
"laying" 29 -0.314162163977967
"laying" 30 -0.305065120152559
"sitting" 1 -0.355503862951871
"sitting" 2 -0.368239147193679
"sitting" 3 -0.347210462232336
"sitting" 4 -0.352314808568627
"sitting" 5 -0.352041911631401
"sitting" 6 -0.35186516633638
"sitting" 7 -0.353377232472721
"sitting" 8 -0.357426425786578
"sitting" 9 -0.349037557118765
"sitting" 10 -0.37010745568323
"sitting" 11 -0.358448891959462
"sitting" 12 -0.360021163284227
"sitting" 13 -0.366544637212993
"sitting" 14 -0.368063447881361
"sitting" 15 -0.365145661154927
"sitting" 16 -0.36834199057714
"sitting" 17 -0.379107670106425
"sitting" 18 -0.368500388371319
"sitting" 19 -0.353617711442407
"sitting" 20 -0.358087015564002
"sitting" 21 -0.37334254833355
"sitting" 22 -0.351276579785289
"sitting" 23 -0.360031690581529
"sitting" 24 -0.364171455791844
"sitting" 25 -0.364165380191054
"sitting" 26 -0.360466410276123
"sitting" 27 -0.363257776868584
"sitting" 28 -0.364875603284542
"sitting" 29 -0.363782013079941
"sitting" 30 -0.360316720046583
"standing" 1 -0.354711270127129
"standing" 2 -0.347416016238774
"standing" 3 -0.328104931950936
"standing" 4 -0.317531646024445
"standing" 5 -0.311998283637915
"standing" 6 -0.33389566002371
"standing" 7 -0.33544222815273
"standing" 8 -0.342101390275218
"standing" 9 -0.326603166129941
"standing" 10 -0.328056917714759
"standing" 11 -0.347309316724543
"standing" 12 -0.332548810063934
"standing" 13 -0.349198019390336
"standing" 14 -0.349744728398613
"standing" 15 -0.339953947343614
"standing" 16 -0.349856451472538
"standing" 17 -0.361070929034449
"standing" 18 -0.349490336272399
"standing" 19 -0.340525889872083
"standing" 20 -0.321784809988588
"standing" 21 -0.353241995645765
"standing" 22 -0.336542273917446
"standing" 23 -0.345501626943379
"standing" 24 -0.341393108470801
"standing" 25 -0.340656297540903
"standing" 26 -0.342968613481173
"standing" 27 -0.347726859070039
"standing" 28 -0.32798771432045
"standing" 29 -0.346224613666687
"standing" 30 -0.325737261223675
"walking" 1 -0.0519791887565576
"walking" 2 -0.144690163544347
"walking" 3 -0.150056646040051
"walking" 4 -0.191341148363196
"walking" 5 -0.121167407841078
"walking" 6 -0.0705101924565377
"walking" 7 -0.0511971639241667
"walking" 8 -0.031593755370133
"walking" 9 -0.119527596810034
"walking" 10 -0.0523003099623318
"walking" 11 -0.186573159305257
"walking" 12 -0.0897685837531941
"walking" 13 -0.0672774815990454
"walking" 14 -0.143101199676768
"walking" 15 -0.131548145203721
"walking" 16 -0.190453726510236
"walking" 17 -0.14614524223107
"walking" 18 -0.199522138600126
"walking" 19 0.0474401952852724
"walking" 20 0.0221975043066655
"walking" 21 -0.0964981079915272
"walking" 22 -0.0245661805134482
"walking" 23 0.0146665248924078
"walking" 24 -0.172669886838793
"walking" 25 -0.224503810573009
"walking" 26 -0.136244161460155
"walking" 27 -0.141072293756936
"walking" 28 -0.139677530542685
"walking" 29 -0.0866004717089734
"walking" 30 -0.112204212880452
"walking downstairs" 1 0.0542681347509424
"walking downstairs" 2 0.0757633881393242
"walking downstairs" 3 -0.0147808432354622
"walking downstairs" 4 -0.0411789689976667
"walking downstairs" 5 0.0464177371673949
"walking downstairs" 6 0.160159905592598
"walking downstairs" 7 0.0278251674258949
"walking downstairs" 8 0.171673490018514
"walking downstairs" 9 0.0298705014259965
"walking downstairs" 10 0.0879928891260294
"walking downstairs" 11 -0.00638978682654092
"walking downstairs" 12 0.0267113302199383
"walking downstairs" 13 0.0317297283333886
"walking downstairs" 14 0.138721959566725
"walking downstairs" 15 0.0704312530731373
"walking downstairs" 16 -0.00653913300761577
"walking downstairs" 17 -0.0253672534161765
"walking downstairs" 18 -0.137561993371182
"walking downstairs" 19 0.289964727617369
"walking downstairs" 20 0.10819772369772
"walking downstairs" 21 0.0460335872730523
"walking downstairs" 22 0.0570149464899257
"walking downstairs" 23 0.171358710400605
"walking downstairs" 24 -0.0292307380915562
"walking downstairs" 25 -0.108323758961293
"walking downstairs" 26 0.0240431122319359
"walking downstairs" 27 0.0264649523503142
"walking downstairs" 28 0.0619795842827756
"walking downstairs" 29 0.0278130149415472
"walking downstairs" 30 -0.0112002778765085
"walking upstairs" 1 -0.137465731394939
"walking upstairs" 2 -0.0924910915510172
"walking upstairs" 3 -0.156600015771441
"walking upstairs" 4 -0.136305100883006
"walking upstairs" 5 -0.0667685634463267
"walking upstairs" 6 -0.0275992063779239
"walking upstairs" 7 -0.166192567135715
"walking upstairs" 8 0.00984677963860832
"walking upstairs" 9 -0.14889703514976
"walking upstairs" 10 -0.0362297861028116
"walking upstairs" 11 -0.174058120272729
"walking upstairs" 12 -0.148877835589876
"walking upstairs" 13 -0.141613073663193
"walking upstairs" 14 -0.00677270334846405
"walking upstairs" 15 -0.103618805145766
"walking upstairs" 16 -0.181221135905779
"walking upstairs" 17 -0.116744000145661
"walking upstairs" 18 -0.215378730814411
"walking upstairs" 19 -0.0232231255204412
"walking upstairs" 20 -0.0484632477407497
"walking upstairs" 21 -0.113733669748029
"walking upstairs" 22 -0.0227718339805672
"walking upstairs" 23 -0.0759543767719954
"walking upstairs" 24 -0.158766800351241
"walking upstairs" 25 -0.21540829157562
"walking upstairs" 26 -0.128988462806139
"walking upstairs" 27 -0.169825374051298
"walking upstairs" 28 -0.131087882560606
"walking upstairs" 29 -0.0731927885045078
"walking upstairs" 30 -0.15593913110291
